"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"1",2763.519279,"No","Basic","Bachelor","Employed","F",56274,"Suburban","Married",69,32,5,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",384.811147,"Two-Door Car","Medsize",4707.52322240585
"3",12887.43165,"No","Premium","Bachelor","Employed","F",48767,"Suburban","Married",108,18,38,0,2,"Personal Auto","Personal L3","Offer1","Agent",566.472247,"Two-Door Car","Medsize",6804.54053420855
"6",8256.2978,"Yes","Basic","Bachelor","Employed","F",62902,"Rural","Married",69,14,94,0,2,"Personal Auto","Personal L3","Offer2","Web",159.383042,"Two-Door Car","Medsize",4769.71790359565
"7",5380.898636,"Yes","Basic","College","Employed","F",55350,"Suburban","Married",67,0,13,0,9,"Corporate Auto","Corporate L3","Offer1","Agent",321.6,"Four-Door Car","Medsize",7223.43957855352
"10",7388.178085,"No","Extended","College","Employed","F",28812,"Urban","Married",93,17,7,0,8,"Special Auto","Special L2","Offer2","Branch",425.527834,"Four-Door Car","Medsize",7814.73053543015
"11",4738.992022,"No","Basic","College","Unemployed","M",0,"Suburban","Single",67,23,5,0,3,"Personal Auto","Personal L3","Offer1","Agent",482.4,"Four-Door Car","Small",5268.38023116987
"13",8798.797003,"No","Premium","Master","Employed","M",77026,"Urban","Married",110,9,82,2,3,"Corporate Auto","Corporate L1","Offer2","Agent",472.029737,"Four-Door Car","Medsize",6656.46569912363
"14",8819.018934,"Yes","Basic","High School or Below","Employed","M",99845,"Suburban","Married",110,23,25,1,8,"Corporate Auto","Corporate L3","Offer2","Branch",528,"SUV","Medsize",9052.36714161993
"15",5384.431665,"No","Basic","College","Employed","M",83689,"Urban","Single",70,21,10,2,8,"Corporate Auto","Corporate L3","Offer4","Call Center",307.139132,"Four-Door Car","Medsize",6732.74155790559
"16",7463.139377,"No","Basic","Bachelor","Employed","F",24599,"Rural","Married",64,12,50,1,2,"Corporate Auto","Corporate L2","Offer2","Branch",42.920271,"Four-Door Car","Medsize",4392.09482434818
"18",3945.241604,"No","Basic","College","Medical Leave","M",28855,"Suburban","Married",101,12,59,0,1,"Personal Auto","Personal L2","Offer3","Call Center",647.442031,"SUV","Medsize",6776.93010970497
"19",5710.333115,"No","Basic","College","Employed","M",51148,"Urban","Married",72,9,1,0,7,"Personal Auto","Personal L2","Offer2","Branch",308.981664,"Four-Door Car","Medsize",6535.1781869714
"20",8162.617053,"No","Premium","High School or Below","Employed","F",66140,"Suburban","Married",101,11,21,0,3,"Corporate Auto","Corporate L2","Offer1","Call Center",484.8,"Four-Door Car","Small",6812.48071747588
"24",2450.190996,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",73,4,44,3,1,"Corporate Auto","Corporate L3","Offer1","Branch",554.376763,"Four-Door Car","Medsize",4437.53366819478
"25",2392.10789,"No","Basic","Bachelor","Disabled","F",17870,"Suburban","Married",61,30,91,0,1,"Corporate Auto","Corporate L2","Offer2","Branch",439.2,"Four-Door Car","Medsize",4080.55691754795
"27",3946.372085,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Single",111,15,47,0,1,"Personal Auto","Personal L3","Offer1","Agent",799.2,"Four-Door Car","Small",6614.94147020282
"29",12902.56014,"No","Premium","College","Employed","F",86584,"Suburban","Single",111,33,54,2,2,"Personal Auto","Personal L3","Offer1","Call Center",532.8,"Four-Door Car","Large",6639.68573812658
"30",3235.360468,"No","Extended","Master","Employed","F",75690,"Suburban","Married",80,17,44,1,1,"Personal Auto","Personal L3","Offer2","Branch",384,"Four-Door Car","Small",4792.88712275182
"31",2454.58354,"No","Basic","College","Employed","M",23158,"Suburban","Married",63,4,6,1,1,"Personal Auto","Personal L2","Offer4","Call Center",322.294043,"Four-Door Car","Small",4284.4854229802
"33",4715.321344,"No","Basic","Bachelor","Unemployed","M",0,"Urban","Married",65,19,56,0,3,"Personal Auto","Personal L3","Offer1","Call Center",308.15089,"Four-Door Car","Medsize",5177.55079079896
"36",5744.229745,"No","Basic","High School or Below","Employed","F",68987,"Urban","Married",71,11,40,0,6,"Personal Auto","Personal L1","Offer1","Branch",204.475147,"Four-Door Car","Medsize",6427.56878560342
"38",7380.976717,"No","Extended","Master","Employed","F",65706,"Suburban","Married",91,19,86,0,8,"Personal Auto","Personal L3","Offer2","Web",436.8,"Four-Door Car","Small",7723.90109505921
"39",3090.034104,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",90,7,79,0,1,"Personal Auto","Personal L2","Offer3","Agent",648,"Two-Door Car","Small",5661.23234630795
"41",2652.061785,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",70,7,1,1,1,"Corporate Auto","Corporate L3","Offer3","Call Center",484.318536,"Two-Door Car","Medsize",4602.38846427849
"42",2771.045031,"Yes","Basic","College","Employed","F",50071,"Rural","Single",71,3,32,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",18.918935,"Two-Door Car","Medsize",4534.70411940265
"43",3939.00637,"Yes","Extended","Bachelor","Employed","F",60021,"Suburban","Married",99,12,28,0,1,"Personal Auto","Personal L2","Offer2","Agent",882.871945,"Four-Door Car","Small",5806.31628459581
"44",12231.87968,"No","Basic","High School or Below","Employed","M",43244,"Suburban","Married",103,15,16,0,2,"Personal Auto","Personal L2","Offer4","Agent",494.4,"Sports Car","Medsize",6577.46693328294
"45",2443.665166,"No","Basic","College","Employed","M",92834,"Suburban","Married",61,15,56,0,1,"Special Auto","Special L2","Offer2","Call Center",292.8,"Four-Door Car","Large",4080.55691754795
"46",12819.10289,"No","Premium","Doctor","Disabled","F",10105,"Rural","Married",172,5,4,3,3,"Personal Auto","Personal L2","Offer1","Branch",0.517753,"SUV","Medsize",10201.4132570409
"47",4468.510542,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",73,7,57,3,5,"Personal Auto","Personal L3","Offer3","Call Center",579.165954,"Four-Door Car","Medsize",5740.9065664503
"48",5514.344018,"No","Basic","High School or Below","Employed","F",23218,"Suburban","Single",71,7,10,0,4,"Personal Auto","Personal L2","Offer4","Agent",447.79344,"Two-Door Car","Medsize",5775.88233647566
"49",3343.875326,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Married",92,11,77,0,1,"Corporate Auto","Corporate L2","Offer2","Call Center",529.624084,"Four-Door Car","Medsize",5488.41324329752
"50",2294.478927,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",62,11,56,0,1,"Personal Auto","Personal L2","Offer4","Branch",313.023175,"Four-Door Car","Medsize",4389.62018111479
"53",7983.431709,"No","Basic","High School or Below","Employed","F",36014,"Rural","Married",69,4,40,3,2,"Special Auto","Special L1","Offer4","Branch",173.956072,"Four-Door Car","Medsize",4581.71801201678
"54",4854.745666,"No","Basic","Bachelor","Employed","M",29834,"Suburban","Single",64,19,44,0,3,"Personal Auto","Personal L3","Offer4","Agent",307.2,"Four-Door Car","Medsize",5132.13607061349
"56",7164.395543,"No","Extended","College","Employed","F",46623,"Suburban","Divorced",91,1,53,0,3,"Corporate Auto","Corporate L3","Offer3","Call Center",436.8,"Four-Door Car","Small",6358.33351562118
"57",7619.5158,"No","Basic","College","Employed","M",64749,"Urban","Married",64,24,59,0,2,"Special Auto","Special L2","Offer2","Branch",302.56519,"Four-Door Car","Medsize",4542.64430266824
"59",4499.493252,"No","Extended","High School or Below","Disabled","F",16969,"Suburban","Divorced",124,34,47,2,1,"Personal Auto","Personal L3","Offer1","Call Center",704.768111,"SUV","Medsize",7520.36971733066
"60",4059.567414,"No","Premium","Master","Disabled","F",11621,"Suburban","Divorced",108,4,98,0,1,"Personal Auto","Personal L1","Offer1","Agent",518.4,"Four-Door Car","Medsize",6478.69730964641
"61",4458.113369,"Yes","Basic","Bachelor","Retired","M",17622,"Suburban","Divorced",65,1,36,1,3,"Personal Auto","Personal L1","Offer1","Agent",312,"Four-Door Car","Medsize",5027.0013124789
"62",8110.333139,"No","Premium","Bachelor","Medical Leave","F",11489,"Suburban","Married",105,4,50,0,6,"Personal Auto","Personal L3","Offer1","Call Center",504,"Two-Door Car","Small",7971.6692719094
"66",2930.693543,"No","Basic","College","Employed","M",33663,"Suburban","Married",73,29,71,0,1,"Personal Auto","Personal L3","Offer3","Web",350.4,"Four-Door Car","Medsize",4889.18210315496
"67",8672.194272,"No","Basic","College","Employed","F",22547,"Suburban","Divorced",112,7,60,0,3,"Corporate Auto","Corporate L3","Offer1","Agent",537.6,"SUV","Medsize",7928.1784808729
"68",11638.66926,"No","Extended","High School or Below","Employed","F",61486,"Urban","Married",97,5,65,0,2,"Personal Auto","Personal L3","Offer4","Branch",465.258644,"Two-Door Car","Small",6304.97861217012
"69",6846.150323,"Yes","Extended","Bachelor","Unemployed","F",0,"Suburban","Divorced",95,13,20,0,5,"Personal Auto","Personal L3","Offer1","Call Center",456,"Two-Door Car","Large",7191.67884549082
"70",11727.77648,"No","Premium","College","Disabled","F",29879,"Suburban","Married",102,17,0,0,2,"Personal Auto","Personal L3","Offer3","Web",500.254235,"Four-Door Car","Medsize",6532.05221309747
"73",2451.752695,"No","Basic","Master","Medical Leave","M",26840,"Suburban","Married",64,1,47,2,1,"Personal Auto","Personal L1","Offer1","Agent",307.2,"Four-Door Car","Medsize",4179.35066484561
"77",5592.161392,"No","Basic","High School or Below","Employed","F",71811,"Rural","Single",71,17,48,0,6,"Personal Auto","Personal L1","Offer2","Call Center",29.03416,"Four-Door Car","Medsize",6163.92024222205
"79",11318.08982,"No","Extended","College","Employed","M",38923,"Rural","Married",99,6,83,2,2,"Personal Auto","Personal L3","Offer1","Agent",115.728852,"Four-Door Car","Medsize",6094.70909590094
"82",5780.182197,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single",74,23,0,0,8,"Personal Auto","Personal L3","Offer2","Call Center",787.993313,"Four-Door Car","Medsize",6951.85085190622
"83",4118.539113,"No","Basic","Doctor","Employed","M",34378,"Suburban","Married",102,12,54,0,1,"Personal Auto","Personal L1","Offer3","Branch",489.6,"SUV","Medsize",6822.34482989044
"84",2523.07015,"No","Basic","Master","Employed","M",43072,"Suburban","Married",63,35,15,0,1,"Personal Auto","Personal L3","Offer2","Call Center",302.4,"Four-Door Car","Large",4171.38635791889
"85",6554.216396,"No","Extended","College","Disabled","F",25222,"Suburban","Single",90,28,69,0,3,"Personal Auto","Personal L3","Offer2","Agent",475.623251,"Four-Door Car","Small",6049.27025205434
"86",7703.397294,"No","Basic","High School or Below","Employed","M",36765,"Suburban","Married",66,15,32,1,2,"Personal Auto","Personal L2","Offer1","Call Center",320.849072,"Four-Door Car","Medsize",4746.57280810049
"87",5926.729379,"Yes","Extended","College","Retired","M",23091,"Suburban","Married",96,28,90,5,5,"Personal Auto","Personal L1","Offer1","Agent",460.8,"Four-Door Car","Medsize",6484.346174076
"88",2683.470677,"No","Basic","Bachelor","Employed","F",48269,"Urban","Married",69,3,79,3,1,"Corporate Auto","Corporate L2","Offer3","Web",282.151207,"Four-Door Car","Medsize",4255.8747874529
"89",2695.182419,"No","Basic","Bachelor","Employed","F",32720,"Suburban","Divorced",67,13,12,0,1,"Personal Auto","Personal L2","Offer3","Branch",321.6,"Four-Door Car","Medsize",4616.69378204214
"90",6047.02516,"Yes","Extended","College","Employed","M",20396,"Suburban","Married",76,15,60,1,4,"Personal Auto","Personal L3","Offer1","Branch",364.8,"Four-Door Car","Medsize",5852.40645908295
"91",13171.01282,"No","Premium","College","Medical Leave","M",21513,"Suburban","Married",119,21,81,1,2,"Personal Auto","Personal L3","Offer2","Branch",679.827592,"Two-Door Car","Small",6889.90443454904
"93",2527.653796,"No","Basic","Bachelor","Employed","F",80744,"Rural","Married",63,24,84,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",11.879037,"Four-Door Car","Medsize",4435.03490130026
"94",2672.095756,"No","Basic","Bachelor","Employed","M",52822,"Suburban","Married",67,23,88,0,1,"Corporate Auto","Corporate L1","Offer1","Branch",350.529033,"Two-Door Car","Small",4616.69378204214
"99",5745.94334,"No","Basic","Bachelor","Employed","F",57740,"Urban","Married",74,30,87,3,9,"Personal Auto","Personal L1","Offer3","Web",269.905129,"Four-Door Car","Medsize",7089.69418489129
"100",6066.115969,"No","Extended","College","Employed","M",32627,"Suburban","Married",76,11,60,0,7,"Personal Auto","Personal L2","Offer1","Agent",380.036697,"Two-Door Car","Small",6980.48561109465
"101",8002.308333,"Yes","Basic","College","Unemployed","F",0,"Suburban","Married",107,3,65,0,3,"Personal Auto","Personal L3","Offer1","Agent",513.6,"SUV","Medsize",7701.10487994555
"102",2393.915369,"Yes","Basic","College","Unemployed","M",0,"Suburban","Single",70,24,10,0,1,"Personal Auto","Personal L1","Offer1","Branch",425.266308,"Four-Door Car","Medsize",4752.93794259855
"103",4762.8179,"No","Basic","Bachelor","Employed","M",65795,"Rural","Single",62,2,85,1,3,"Corporate Auto","Corporate L3","Offer3","Call Center",49.011099,"Two-Door Car","Medsize",4890.75715192249
"104",4330.38602,"Yes","Premium","College","Employed","M",60475,"Suburban","Married",107,9,18,0,1,"Personal Auto","Personal L3","Offer2","Branch",513.6,"Four-Door Car","Medsize",6169.63404607958
"105",9402.729769,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",130,28,88,0,4,"Personal Auto","Personal L3","Offer1","Web",936,"SUV","Medsize",9071.48666877524
"107",7694.064293,"No","Basic","Bachelor","Employed","F",32303,"Rural","Married",65,13,34,0,2,"Personal Auto","Personal L1","Offer3","Branch",45.152521,"Four-Door Car","Medsize",4851.70756623508
"108",8717.561149,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",117,5,89,1,3,"Personal Auto","Personal L1","Offer1","Agent",561.6,"SUV","Medsize",8004.70260348019
"109",5928.748528,"No","Basic","Bachelor","Employed","F",40531,"Rural","Married",74,17,32,0,9,"Personal Auto","Personal L3","Offer1","Agent",30.567357,"Two-Door Car","Medsize",7541.34261985147
"110",2452.977288,"No","Basic","College","Employed","M",79898,"Urban","Married",62,5,86,1,1,"Corporate Auto","Corporate L1","Offer4","Agent",271.606799,"Four-Door Car","Medsize",4239.07070279473
"111",6701.571657,"No","Extended","College","Employed","M",56398,"Suburban","Married",85,4,18,0,7,"Personal Auto","Personal L3","Offer4","Agent",408,"Four-Door Car","Small",7389.21809276388
"112",7556.24034,"No","Extended","High School or Below","Employed","M",35257,"Suburban","Divorced",98,16,2,1,8,"Corporate Auto","Corporate L2","Offer2","Web",470.4,"Four-Door Car","Small",7891.25465803744
"114",7713.494046,"No","Basic","Bachelor","Employed","M",45506,"Suburban","Single",66,16,32,2,2,"Personal Auto","Personal L3","Offer1","Agent",316.8,"Four-Door Car","Medsize",4596.02332978043
"118",6806.491395,"No","Extended","High School or Below","Employed","M",37839,"Suburban","Married",86,35,77,0,9,"Personal Auto","Personal L3","Offer2","Branch",465.633954,"Two-Door Car","Medsize",7822.67071869574
"119",2469.781334,"No","Basic","Bachelor","Employed","F",92711,"Suburban","Single",62,24,10,0,1,"Personal Auto","Personal L2","Offer3","Agent",368.400146,"Two-Door Car","Medsize",4389.62018111479
"120",3103.923041,"No","Extended","College","Employed","F",74665,"Urban","Married",78,10,90,2,1,"Corporate Auto","Corporate L2","Offer2","Call Center",236.902001,"Four-Door Car","Medsize",4551.50820406083
"122",8902.737595,"No","Basic","Bachelor","Employed","M",46833,"Rural","Married",112,6,3,0,9,"Personal Auto","Personal L3","Offer1","Call Center",64.109663,"Sports Car","Medsize",9267.10198689933
"123",5499.447223,"No","Basic","High School or Below","Employed","F",88768,"Suburban","Married",68,17,77,0,7,"Personal Auto","Personal L3","Offer3","Branch",326.4,"Two-Door Car","Small",6617.16784961089
"127",3133.503432,"No","Extended","Master","Employed","F",58850,"Rural","Single",78,20,26,0,1,"Personal Auto","Personal L3","Offer2","Branch",143.747794,"Four-Door Car","Medsize",4852.60716070094
"128",3837.451863,"No","Extended","College","Employed","M",21880,"Urban","Married",97,29,37,0,1,"Special Auto","Special L2","Offer1","Branch",424.077159,"Four-Door Car","Medsize",5979.13538760624
"130",7838.068321,"No","Basic","Master","Unemployed","F",0,"Rural","Married",69,9,12,0,2,"Personal Auto","Personal L1","Offer2","Agent",2.704934,"Four-Door Car","Medsize",4769.71790359559
"131",4305.808345,"No","Basic","High School or Below","Employed","M",24188,"Suburban","Married",109,14,82,0,1,"Personal Auto","Personal L3","Offer1","Agent",523.2,"Sports Car","Medsize",6524.11202983188
"132",5973.976904,"No","Basic","Bachelor","Employed","F",41611,"Rural","Married",74,14,8,0,8,"Special Auto","Special L2","Offer1","Branch",113.801497,"Four-Door Car","Medsize",7215.49939528759
"133",5670.442396,"No","Basic","Bachelor","Employed","F",28406,"Urban","Married",72,16,35,1,4,"Personal Auto","Personal L3","Offer1","Call Center",192.87572,"Four-Door Car","Medsize",5670.74757834107
"134",4731.749346,"No","Premium","College","Employed","M",69833,"Suburban","Married",118,32,99,0,1,"Personal Auto","Personal L3","Offer1","Agent",828.662719,"Four-Door Car","Small",6932.84451150111
"135",8026.379641,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",74,15,91,0,2,"Corporate Auto","Corporate L2","Offer1","Web",532.8,"Four-Door Car","Small",5260.44004790431
"136",4022.963529,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",117,6,1,0,1,"Personal Auto","Personal L3","Offer1","Agent",975.107098,"SUV","Medsize",7503.56563267249
"138",2274.775451,"No","Basic","College","Unemployed","F",0,"Suburban","Single",63,2,5,0,1,"Personal Auto","Personal L2","Offer2","Agent",606.642452,"Four-Door Car","Small",4171.38635791889
"139",9552.926922,"No","Extended","College","Employed","F",97732,"Urban","Married",79,0,70,0,2,"Personal Auto","Personal L3","Offer4","Branch",289.9122,"Four-Door Car","Medsize",5487.51364883166
"140",10388.55323,"No","Extended","Bachelor","Employed","F",61222,"Urban","Single",89,20,55,0,2,"Special Auto","Special L3","Offer3","Branch",392.604371,"Four-Door Car","Small",5941.66085068636
"141",2470.121222,"No","Basic","College","Unemployed","M",0,"Suburban","Single",74,7,20,0,1,"Personal Auto","Personal L1","Offer4","Web",721.242206,"Two-Door Car","Large",4934.59682334043
"142",5619.068508,"No","Premium","Master","Employed","M",50335,"Urban","Married",140,9,54,0,1,"Personal Auto","Personal L2","Offer1","Call Center",456.52385,"SUV","Medsize",8548.1041969383
