"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Open.Complaints","dfbetas.Number.of.Policies","dfbetas.I(Renew.Offer.Type == ""Offer2"")TRUE","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"1", 2763.519,"No","Basic","Bachelor","Employed","F",56274,"Suburban","Married", 69,32, 5,0,1,"Corporate Auto","Corporate L3","Offer1","Agent", 384.811147,"Two-Door Car","Medsize", 4707.523,-0.6852612760,-0.6852612760,0.0005300033,4.150584e-05,-1.578013e-02,-1.218125e-02, 5.272974e-03, 4.310320e-03, 7.935791e-03, 7.397624e-03, 1.913830e-03,1.0010740
"3",12887.432,"No","Premium","Bachelor","Employed","F",48767,"Suburban","Married",108,18,38,0,2,"Personal Auto","Personal L3","Offer1","Agent", 566.472247,"Two-Door Car","Medsize", 6804.541, 2.1449350661, 2.1449350661,0.0004930046,3.779856e-04, 4.763725e-02, 4.671566e-04, 2.305334e-02,-1.351652e-02,-1.283161e-02,-2.097208e-02,-2.382656e-02,0.9968113
"6", 8256.298,"Yes","Basic","Bachelor","Employed","F",62902,"Rural","Married", 69,14,94,0,2,"Personal Auto","Personal L3","Offer2","Web", 159.383042,"Two-Door Car","Medsize", 4769.718, 1.2291928275, 1.2291928275,0.0006346916,1.599151e-04, 3.097699e-02, 1.046946e-02,-8.060834e-03,-5.412638e-03,-5.577018e-03, 2.160568e-02,-2.386261e-03,1.0001116
"7", 5380.899,"Yes","Basic","College","Employed","F",55350,"Suburban","Married", 67, 0,13,0,9,"Corporate Auto","Corporate L3","Offer1","Agent", 321.600000,"Four-Door Car","Medsize", 7223.440,-0.6497623952,-0.6497623952,0.0013587675,9.574947e-05,-2.396748e-02,-1.942303e-03, 5.164251e-03, 3.868207e-03,-2.001738e-02, 5.325559e-03, 1.659732e-03,1.0019534
"10", 7388.178,"No","Extended","College","Employed","F",28812,"Urban","Married", 93,17, 7,0,8,"Special Auto","Special L2","Offer2","Branch", 425.527834,"Four-Door Car","Medsize", 7814.731,-0.1504155262,-0.1504155262,0.0013477915,5.089967e-06,-5.525822e-03, 1.923170e-03,-7.911248e-04, 6.295783e-04,-4.129131e-03,-3.006222e-03, 1.080959e-03,1.0023526
"11", 4738.992,"No","Basic","College","Unemployed","M",    0,"Suburban","Single", 67,23, 5,0,3,"Personal Auto","Personal L3","Offer1","Agent", 482.400000,"Four-Door Car","Small", 5268.380,-0.1865913694,-0.1865913694,0.0004119679,2.391915e-06,-3.788024e-03,-2.738893e-03, 1.579085e-03, 1.157388e-03, 1.862845e-04, 1.897737e-03, 4.504091e-04,1.0014017
"13", 8798.797,"No","Premium","Master","Employed","M",77026,"Urban","Married",110, 9,82,2,3,"Corporate Auto","Corporate L1","Offer2","Agent", 472.029737,"Four-Door Car","Medsize", 6656.466, 0.7554632793, 0.7554632793,0.0012842312,1.223231e-04, 2.709031e-02,-1.024814e-02, 9.631324e-03, 1.799177e-02, 9.830638e-04, 1.548222e-02,-7.860592e-03,1.0017262
"14", 8819.019,"Yes","Basic","High School or Below","Employed","M",99845,"Suburban","Married",110,23,25,1,8,"Corporate Auto","Corporate L3","Offer2","Branch", 528.000000,"SUV","Medsize", 9052.367,-0.0823189578,-0.0823189578,0.0021557573,2.440390e-06,-3.826207e-03, 1.000544e-03, 2.877489e-04,-8.463619e-04,-2.267325e-03,-1.842169e-03,-2.169456e-03,1.0031805
"15", 5384.432,"No","Basic","College","Employed","M",83689,"Urban","Single", 70,21,10,2,8,"Corporate Auto","Corporate L3","Offer4","Call Center", 307.139132,"Four-Door Car","Medsize", 6732.742,-0.4754995558,-0.4754995558,0.0014978202,5.653495e-05,-1.841643e-02,-8.303439e-06, 3.188177e-03,-1.057413e-02,-1.224658e-02, 3.145898e-03, 1.373393e-03,1.0022943
"16", 7463.139,"No","Basic","Bachelor","Employed","F",24599,"Rural","Married", 64,12,50,1,2,"Corporate Auto","Corporate L2","Offer2","Branch",  42.920271,"Four-Door Car","Medsize", 4392.095, 1.0827250157, 1.0827250157,0.0007461048,1.458802e-04, 2.958559e-02, 9.376279e-03,-9.693797e-03, 1.052067e-02,-4.833024e-03, 1.994206e-02,-7.986618e-04,1.0005701
