"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.I(Coverage == ""Premium"")TRUE","dfbetas.I(EmploymentStatus == ""Unemployed"")TRUE","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Policies","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"2", 6979.536,"No","Extended","Bachelor","Unemployed","F",    0,"Suburban","Single", 94,13,42,0,8,"Personal Auto","Personal L3","Offer3","Agent",1131.464935,"Four-Door Car","Medsize", 7540.525,-0.1913989245,-0.1913989245,0.0032629892,1.999538e-05,-1.095108e-02, 4.087342e-03, 1.768499e-03,-6.029298e-03,-2.187219e-03,-7.502190e-03, 2.450094e-03,1.0055890
"4", 7645.862,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Married",106,18,65,0,7,"Corporate Auto","Corporate L2","Offer1","Call Center", 529.881344,"SUV","Medsize", 8518.248,-0.2978161383,-0.2978161383,0.0044096612,6.549793e-05,-1.982031e-02, 2.754429e-03,-1.590846e-04,-9.490781e-03, 2.339686e-03,-9.653221e-03,-1.239487e-02,1.0066218
"5", 2813.693,"No","Basic","Bachelor","Employed","M",43836,"Rural","Single", 73,12,44,0,1,"Personal Auto","Personal L1","Offer1","Agent", 138.130879,"Four-Door Car","Medsize", 4887.920,-0.7069437043,-0.7069437043,0.0009815075,8.185121e-05,-2.215873e-02,-1.417077e-02, 2.700065e-03, 8.033535e-03, 4.220056e-03, 1.176875e-02, 4.273293e-03,1.0021812
"8", 7216.100,"No","Premium","Master","Unemployed","M",    0,"Urban","Single",101, 0,68,0,4,"Corporate Auto","Corporate L3","Offer1","Agent", 363.029680,"Four-Door Car","Medsize", 7331.870,-0.0395565338,-0.0395565338,0.0062001198,1.627643e-06,-3.124416e-03,-3.443199e-04,-2.642556e-03,-1.322592e-03, 7.443776e-04,-3.435226e-04,-1.135153e-04,1.0086457
"12", 8197.197,"No","Basic","College","Unemployed","F",    0,"Suburban","Married",110,27,87,0,3,"Personal Auto","Personal L3","Offer2","Agent", 528.000000,"SUV","Medsize", 7425.646, 0.2632477024, 0.2632477024,0.0033196899,3.848405e-05, 1.519272e-02,-6.624496e-05,-4.463150e-04, 8.706453e-03,-1.438461e-03,-5.948504e-05, 1.038304e-02,1.0055676
"17", 2566.868,"No","Basic","High School or Below","Medical Leave","M",25049,"Suburban","Married", 67,14, 7,0,1,"Personal Auto","Personal L3","Offer2","Call Center", 454.245098,"Two-Door Car","Medsize", 4642.439,-0.7074295978,-0.7074295978,0.0010598008,8.850880e-05,-2.304229e-02,-1.708127e-02, 1.232051e-03, 8.008939e-03, 7.553725e-03, 1.185418e-02, 2.669420e-03,1.0022581
"21", 2872.051,"No","Basic","High School or Below","Employed","M",57749,"Suburban","Single", 74,31,21,0,1,"Personal Auto","Personal L2","Offer1","Branch", 355.200000,"Two-Door Car","Medsize", 4928.833,-0.7009937312,-0.7009937312,0.0009727640,7.976186e-05,-2.187405e-02,-1.357249e-02, 2.920085e-03, 7.970912e-03, 3.634494e-03, 1.165695e-02, 4.502689e-03,1.0021925
"22", 3041.792,"No","Extended","Bachelor","Disabled","F",13789,"Suburban","Divorced", 79, 8,49,0,1,"Personal Auto","Personal L3","Offer4","Call Center", 379.200000,"Four-Door Car","Medsize", 5133.401,-0.7128568542,-0.7128568542,0.0009474983,8.033942e-05,-2.195318e-02,-1.136676e-02, 4.203773e-03, 8.131257e-03, 8.993162e-04, 1.178952e-02, 5.928177e-03,1.0021270
"26", 5802.066,"No","Basic","College","Employed","M",97541,"Suburban","Married", 72,22, 1,0,3,"Personal Auto","Personal L3","Offer2","Call Center", 389.185006,"Four-Door Car","Large", 5475.134, 0.1113999226, 0.1113999226,0.0007141295,1.478689e-06, 2.978026e-03, 1.656419e-03,-3.399818e-04,-1.334569e-03,-7.103222e-04,-3.759814e-05,-5.956219e-04,1.0030822
"28", 5346.917,"No","Extended","Master","Disabled","F",10511,"Urban","Married",139,33,64,0,1,"Corporate Auto","Corporate L1","Offer1","Branch", 516.237951,"SUV","Medsize", 8389.033,-1.0379204403,-1.0379204403,0.0028645863,5.157880e-04,-5.563114e-02, 7.979831e-03, 1.303497e-02, 1.217115e-02,-1.800676e-02, 1.485574e-02,-2.909477e-02,1.0026874
